keys,en,ru
LANG_SWAP,Swap Language,Сменить язык
PLAY,Play,Играть
START_GAME,Start game,Начать игру
ABOUT,About,Об игре
CHANGE_TABS,Change tabs,Смена вкладок
ABOUT_TEXT,"Behold - sort of a remake of one of the video games of all time. This project is made by Gosha, mostly for learning purposes. This is a rather incomplete and barebones version, but it's already playable enough, so have fun, I guess.

(Oh and BTW Atari if you're reading this pls don't sue me for using the word ""po*g"" in the title, I can change it to ""pingchamp"" you want)","Встречайте: что-то типа ремейка одной из игр всех времён. Данный проект сделал Gosha в целях обучения. Это незаконченная версия, но она уже достаточно играбельна, так что веселитесь, наверн.

(А, Atari, если вы это читаете, то не судите пж за слово ""po*g"" в названии, если хотите, могу поменять на ""pingchamp"")"
CREDITS,Credits,Титры
CREDITS_TEXT,"Software used:
Game Engine - Godot
Image Editor - Aseprite
Sound effect generator - LabChirp","Использованные программы:
Игровой движок - Godot
Редактор изображений - Aseprite
Генератор звуковых эффектов - LabChirp"
SCORE_TO_WIN,Score to win:,Очков для победы:
1_PLAYABLE,Player 1,Игрок 1
2_PLAYABLE,Player 2,Игрок 2
CLR_RED,Red,Красный
CLR_GREEN,Green,Зелёный
CLR_BLUE,Blue,Синий
PAUSED, Paused, Пауза
RESUME,Continue,Продолжить
QUIT_TO_MENU,Quit to menu,Выйти в меню
END_CONGRATS,"Player {n} won!","Игрок {n} победил!"
RESTART,Play again,Сыграть ещё раз
FULLSCREEN,Fullscreen,Полный экран
